spindle_speed,feed_rate,depth_of_cut,coolant,tool_type,surface_roughness,energy_consumption
3982.802218501835,0.42922938596291244,3.608889856227861,1,A,1.8538074560984286,82.81639784971536
2474.9529788842356,0.25087527146466926,1.8498664198934311,0,B,1.5075055712586882,109.00352896426101
4363.690639601221,0.47883882270204653,4.274152493158067,0,A,2.21367499013157,124.80196291475609
3638.1561307671377,0.3428575653729815,1.280788085289275,0,B,1.410482428224361,3.312627509303894
923.7980654944229,0.10215448939366224,2.7381281014244614,1,B,1.559188510445241,2.568454476246181
4890.300582365402,0.4482918447020603,1.0022821640309942,1,B,1.2280329241378836,35.231414640643536
3925.1286589565884,0.270169335873859,2.526973020290626,1,A,1.518051514058849,9.10120665906382
4037.2893737462923,0.11373753558780725,0.8470858939940924,0,B,1.2043865979974469,95.00175110747311
1076.5113470399565,0.11871056022863932,0.8917352594204575,1,A,1.0508218644412144,55.19092601819297
2526.736720530052,0.3593902707994423,3.099894547505877,0,B,1.717161347675933,94.65840589190931
2168.5911090466157,0.07131762802827041,1.392551606661257,0,B,1.3162344805736428,84.17909723850885
4670.442449818708,0.17896719421121599,0.9445994101648119,0,A,1.1738203852433726,99.32597544501947
3397.3930403629906,0.11290441571144065,4.655864425661858,1,B,2.0437751081664475,81.68671615518512
4202.4272597187355,0.24848484332777793,0.31071592862625025,1,B,1.0715624962863,37.433506917668026
2495.36389472299,0.23645919739746257,2.8692257522098474,1,A,1.6363741596142907,44.61401504195872
1522.5742480314962,0.28484439560998515,2.786492824983,1,A,1.6888336956339192,-18.835026224663743
2995.6315415712565,0.17583634809613863,1.3279834845749932,0,A,1.3276039292186277,26.052635378915518
787.1776524687889,0.06441961522017974,2.3185815510528074,1,A,1.4912266617803491,32.4270004787437
4224.34027396662,0.3264737479408336,0.5299151371049138,0,B,1.1426103028087902,87.51081426721919
3342.4897960492917,0.21817310129705814,3.63422371502704,1,B,1.8172317303844645,243.43904740383044
3911.394830384182,0.3431007494330209,1.186316027046434,0,B,1.4017874617301924,23.300704361995642
2095.3668565844077,0.09890013686192081,1.047588263150124,1,A,1.1018265463679893,41.87934377446888
4868.141109777065,0.05619980988232265,1.6429045435597651,1,B,1.2964369906637363,37.95273745197714
4519.04504594989,0.16173241154838175,4.521612609289396,1,B,1.9896673811210008,98.21699428243105
4002.7257368319283,0.2554462953473235,4.002686576589359,1,B,2.031863349402446,88.26775146729938
1375.874185333854,0.22733238837581027,4.739772226555412,0,A,2.3047191260403705,95.73367003486915
2600.2445167716537,0.41463614987305986,3.294615495562119,0,A,1.945075548638425,50.1410023510782
697.1169460425294,0.2200269398867708,3.34831540405723,1,B,1.7747223799754237,26.318205337196503
1194.3027143039653,0.2886985308213855,2.4521518971884633,1,B,1.6169708114890404,20.51790095662451
3573.720289591046,0.3170820165989865,4.53541298449818,0,A,2.1330343844756703,27.26970367744123
3851.429701585177,0.05982412624061523,2.6032980314246124,1,B,1.4151365702475711,61.03820686157738
4853.793795953945,0.28181001958078505,1.839794346895621,0,B,1.5636745422071796,92.99611209517397
1966.2141116216837,0.20517406672947702,3.2378375485965596,1,B,1.7257458441575284,64.25650481303047
2167.06867715691,0.23957605745746458,2.776083517664721,0,A,1.7024836458459234,87.5649160672777
2613.0011507411355,0.09512932932286261,0.7076970950184879,0,B,1.1250451035601114,48.01997629759231
1352.6211158792858,0.40226925454189033,2.024354528170905,1,A,1.3879211856954679,28.588074304791803
1084.6467740096223,0.4740819128638351,1.635294514362952,1,B,1.4363364692998055,-48.430430743707085
2640.672168016702,0.06002096928332001,4.249485497554546,1,A,1.8547295220706355,101.64780640375753
1521.0920707289783,0.32061774326510656,1.956328529168233,1,A,1.4952945856053657,8.614767135569764
3514.1629760712967,0.3937298302797611,4.125620639930574,1,B,2.0780216140417247,135.2048229353652
2467.183634925488,0.17816341489245024,2.2677090101146335,0,B,1.5848429716813792,131.28584929071724
4247.051882260268,0.40440001318844754,3.7921527608834893,1,B,1.9700111292550533,101.55005024685703
3651.192959010121,0.33455977284483557,0.7628814497048306,1,B,1.083132911412612,32.01830011888031
1905.6498862191847,0.4681231845219815,4.630786076326466,1,B,2.221290265342451,68.11322929692093
4245.169106278405,0.49145216510919776,2.4547434649146997,1,B,1.6908818460594428,122.52672100216549
4121.439608735609,0.06905575129941717,1.3730114035689014,0,A,1.3400403592303707,74.20840664321483
2243.652705635785,0.2502219924621528,1.2832990711875538,1,B,1.3518462546494747,28.5898489243088
1797.4764676860984,0.2961445044101982,1.3988787140173626,1,A,1.2131638970308594,74.08197850278145
3571.2297678873897,0.11603445494344362,1.8969484472980418,0,B,1.4128304980153217,109.94859587838219
1128.8861762418942,0.2013286236923128,3.6158457101105226,1,A,1.767512407515905,25.355756295955743
1399.5869111379875,0.4944413514904078,4.753054910213889,0,A,2.34410976271793,-26.001881974301213
533.1302138795248,0.05730370535411215,3.3782834076057977,1,B,1.6738927974894076,53.945967638133226
4041.1596987596226,0.2536285691859728,2.781114727626094,1,A,1.6103888628455028,58.89869363311384
3491.8288546641447,0.42919457977318826,2.29812925928396,0,B,1.740509822777643,99.33622295595003
3673.244203818508,0.1957555682236798,4.15815288848432,1,A,1.8823452956738809,103.77106578498042
4013.2806395988555,0.265909326239819,4.2633202919857425,0,A,2.0467286627467147,9.793936162170738
2565.1209899225296,0.490120585604591,1.5358846047208112,1,B,1.3778201804275965,70.93713289867924
3059.335381788022,0.26369457641406674,4.771759218401807,1,B,2.1067707134361857,116.4090757606329
1129.0864915744585,0.10891459046592458,2.036065279711272,0,B,1.4020441043651883,68.70882290022912
1015.3853309118805,0.07327467124987598,4.020382539038486,0,B,1.9393043959445964,50.01065358074444
3507.8133280571224,0.4754374575979768,4.837417402602943,0,B,2.3387985697181812,3.2384259526574226
2619.9329276440963,0.16961423597377956,3.547924694192495,0,A,1.8324625358350597,135.68847749291405
3043.56247916535,0.27682875795404793,0.8915985596108493,0,B,1.3050023315825463,91.64866333803074
3942.4948583721152,0.09081579474048587,2.9720710803522614,0,A,1.6854506410439716,34.45244404808461
3356.2324400026587,0.2406448042477723,0.6820079031683343,0,A,1.24395674611756,33.5529843504589
2991.107302960981,0.46854748366255583,3.966795995357739,0,A,2.116220248110491,95.9028113373599
3016.4322233543608,0.27608584713392226,1.4784443519820265,0,A,1.4064442671509,104.47093436324934
1867.7754412817549,0.48701081831104753,3.5065526329940915,0,A,1.9920044471699614,35.36023735633095
638.6802555557273,0.16647603675682987,4.559439403237975,1,B,2.0227455421611347,81.51183286382647
2465.228251545631,0.27704535786677176,0.9869482682838447,1,A,1.2208713113109493,-32.62858150400932
1465.6310276878814,0.43678885631419634,2.025003409145717,0,B,1.6040785688300128,-5.317424392061184
2338.3788967608625,0.25171355954918473,3.2708820615604752,1,B,1.7694978932914445,-34.57907665359265
4340.313829706747,0.1757693181065853,2.156327104766556,0,A,1.486329087192645,54.47534815554891
1552.7276863940333,0.43496391353804675,0.9566128139611046,1,A,1.29458768853541,115.5911161602714
762.3623376007971,0.22545026099267407,0.24245090942710532,0,B,1.044342566487517,124.60411563834833
1766.2275140989843,0.28882548097710536,2.0923309041396183,0,B,1.6100794601849098,63.403983023970966
1821.1719099500763,0.4894371798868155,3.28112423025141,1,A,1.8680484746279435,25.801970785699005
3478.624316271028,0.13391748264013875,2.9125226199471945,0,B,1.7711370829764213,77.39227920901074
3006.6446855357526,0.1856302865240836,0.8655820748271479,1,A,1.0515072756561181,89.98410149174273
4027.5419409788606,0.06398132003142798,2.3083978749501948,0,B,1.4352812900876692,17.583598812688336
3489.410931473244,0.22632696945952374,1.910408126288139,0,A,1.4599546540030184,52.97857015644057
2328.7408764803176,0.1400825437631868,1.4435917712376596,0,B,1.2617086672892928,129.93825554593897
4163.0917309971555,0.3560157209335511,3.6734290949159076,1,A,1.8272283894743386,52.90363383744005
1251.3781395846677,0.13159465644463358,1.6172949471332034,0,A,1.4011986030286114,-3.021260871271437
602.2043291023722,0.35366573858264133,2.7466955664318435,1,A,1.6632978212286489,29.973904599105097
905.215373490388,0.16856394268519298,4.623795322821121,1,A,2.016246753212664,57.066036486000755
3750.6170776840263,0.2098480253545399,2.742452313042554,1,A,1.571188961072637,59.572881062465086
2578.4475361312434,0.2069872934208789,3.123412259786748,1,A,1.6544848284408098,73.10410411836517
1225.723005651208,0.3725382875736242,0.45890533222100194,1,A,1.1835139352330148,60.93134633683739
2754.701487965136,0.2599291684122544,0.9728573043345079,1,B,1.1364036249076024,163.63019915328016
1185.4044622092579,0.21258450448370741,0.5946608765607561,0,B,1.0888507764778779,25.495019700086964
